ID,Shooter API,GoalKeeper API,Team name (optional)
1,http://10.19.134.128:8000,http://10.19.130.49:18008,我爱吃海参
2,http://10.15.26.221:8000,http://10.15.26.221:8001,TeamWHY
3,http://10.19.96.110:28888/shooter,http://10.19.96.110:28888/goalkeeper,Team3
4,http://10.20.103.143:8000,http://10.20.103.143:8001,T4
5,http://10.15.26.224:8000,http://10.15.26.224:8001,TEAM5
6,http://10.20.248.12:8000,http://10.15.88.40:8002,Team6
7,http://10.15.88.43:19317,http://10.15.88.43:19318,Team7
8,http://10.19.127.7:8000/,http://10.19.127.7:8001/,Kedox
9,http://10.15.88.88:22100,http://10.19.134.8:22101,Team9
10,http://10.20.203.183:7015,http://10.15.89.214:13579,Team10
11,http://10.19.134.128:18000,http://10.19.130.49:18001,G你太美
12,http://10.19.125.145:8002,http://10.19.125.145:8001,Team12
13,http://10.15.112.224:8000,http://10.15.88.74:8001,守不住的队发大财
14,http://10.20.199.5:8000,http://10.20.199.5:8001,Team14
